episode,winner,left_Fire_vizard,left_Lightning_Mage,left_Wanderer_Magician,right_Fire_vizard,right_Lightning_Mage,right_Wanderer_Magician
9,Left Team Wins!,11,9,15,13,12,10
10,Draw!,10,14,12,12,14,9
11,Draw!,9,12,15,11,13,12
12,Right Team Wins!,9,15,12,12,11,13
13,Left Team Wins!,9,5,11,9,11,5
1,Left Team Wins!,10,9,16,13,13,9
1,Draw!,11,22,3,10,17,9
2,Right Team Wins!,19,4,12,9,13,8
3,Draw!,15,6,14,12,9,14
4,Draw!,17,8,11,15,7,14
5,Draw!,24,4,7,16,9,11
6,Draw!,16,5,14,12,11,13
1,Left Team Wins!,6,13,17,14,11,11
2,Left Team Wins!,13,12,11,9,13,14
3,Draw!,10,14,12,16,10,10
4,Right Team Wins!,2,11,16,10,14,6
5,Draw!,10,22,4,8,9,18
6,Draw!,1,15,20,17,11,8
7,Draw!,7,15,13,13,7,15
8,Draw!,14,7,15,12,11,13
9,Right Team Wins!,9,4,15,11,7,10
10,Right Team Wins!,5,10,13,13,6,9
11,Left Team Wins!,12,9,10,7,13,11
12,Draw!,15,8,12,17,12,7
13,Left Team Wins!,6,8,7,8,7,6
14,Left Team Wins!,15,7,4,11,7,8
15,Draw!,14,7,14,8,10,17
16,Draw!,22,6,8,14,11,10
17,Draw!,10,11,14,10,10,16
18,Left Team Wins!,15,8,10,14,10,9
19,Left Team Wins!,9,10,3,6,9,7
20,Right Team Wins!,12,12,12,13,13,10
21,Right Team Wins!,8,8,12,12,7,8
22,Draw!,9,13,13,10,12,14
23,Draw!,11,14,11,15,10,11
24,Right Team Wins!,17,8,8,11,10,12
25,Left Team Wins!,8,9,16,11,12,10
26,Draw!,8,18,10,9,14,13
27,Left Team Wins!,15,8,13,9,14,13
28,Draw!,7,12,17,10,13,13
29,Draw!,10,7,18,12,14,10
30,Right Team Wins!,12,4,8,9,8,7
31,Left Team Wins!,15,7,9,17,4,10
32,Right Team Wins!,9,11,13,13,10,11
33,Left Team Wins!,9,8,12,11,10,8
34,Right Team Wins!,11,4,9,11,6,7
35,Draw!,12,6,18,15,6,14
36,Draw!,13,10,13,13,7,15
37,Right Team Wins!,16,9,11,14,7,14
38,Draw!,19,7,9,11,12,13
39,Right Team Wins!,15,11,10,9,9,18
40,Right Team Wins!,12,7,9,10,16,2
41,Draw!,17,8,11,10,15,11
42,Left Team Wins!,17,7,9,13,9,11
43,Right Team Wins!,16,6,9,10,9,12
44,Left Team Wins!,19,10,3,15,10,7
45,Right Team Wins!,13,9,8,9,6,15
46,Draw!,16,11,8,10,7,19
47,Draw!,17,10,8,12,8,16
48,Left Team Wins!,10,11,3,8,9,7
49,Right Team Wins!,9,9,6,9,9,6
50,Left Team Wins!,19,11,5,12,11,12
51,Left Team Wins!,15,11,6,10,12,9
52,Left Team Wins!,14,10,6,14,9,7
53,Right Team Wins!,22,9,5,12,8,16
54,Right Team Wins!,16,6,2,7,8,9
55,Right Team Wins!,12,9,1,4,14,4
56,Left Team Wins!,6,9,2,6,9,2
57,Right Team Wins!,12,9,1,9,5,8
58,Left Team Wins!,9,9,11,5,12,12
59,Right Team Wins!,9,18,4,11,13,7
60,Draw!,13,18,4,10,10,16
61,Left Team Wins!,5,14,9,11,8,9
62,Right Team Wins!,11,13,3,10,7,10
63,Right Team Wins!,4,19,0,6,7,10
64,Left Team Wins!,5,20,2,9,11,7
65,Right Team Wins!,1,16,0,8,4,5
66,Left Team Wins!,8,20,8,14,13,8
67,Right Team Wins!,6,12,0,3,7,8
68,Draw!,2,25,8,15,8,13
69,Right Team Wins!,3,26,7,11,13,12
70,Left Team Wins!,2,15,3,7,6,7
71,Left Team Wins!,0,18,6,6,8,10
72,Right Team Wins!,2,23,2,7,5,15
73,Right Team Wins!,2,19,10,5,15,11
74,Right Team Wins!,4,24,3,7,12,12
75,Right Team Wins!,5,15,4,9,9,6
76,Draw!,0,24,12,16,9,10
77,Right Team Wins!,8,13,4,13,5,7
78,Left Team Wins!,2,14,3,7,5,7
79,Right Team Wins!,3,26,7,9,12,14
80,Left Team Wins!,7,24,5,10,5,21
81,Left Team Wins!,6,14,9,13,10,5
82,Draw!,6,17,13,12,13,10
83,Draw!,5,14,17,11,13,12
84,Left Team Wins!,3,9,20,13,6,15
85,Left Team Wins!,9,10,17,9,10,17
86,Right Team Wins!,3,23,10,15,8,13
87,Right Team Wins!,12,8,10,13,7,10
88,Left Team Wins!,8,11,12,8,14,9
89,Left Team Wins!,7,9,11,5,12,10
90,Left Team Wins!,9,8,9,9,11,6
91,Right Team Wins!,5,15,5,9,9,7
92,Left Team Wins!,2,10,5,8,5,4
93,Right Team Wins!,7,23,5,11,10,14
94,Right Team Wins!,4,16,3,10,2,11
95,Left Team Wins!,7,8,16,13,8,11
96,Left Team Wins!,8,21,7,11,15,10
97,Right Team Wins!,9,15,8,14,10,8
98,Right Team Wins!,16,9,4,13,8,8
99,Right Team Wins!,12,7,5,9,9,5
100,Right Team Wins!,12,7,3,10,7,5
101,Right Team Wins!,13,10,1,11,6,7
102,Right Team Wins!,21,13,0,9,12,13
103,Right Team Wins!,20,8,0,9,8,11
104,Right Team Wins!,18,5,0,9,8,6
105,Left Team Wins!,31,2,0,8,15,10
106,Right Team Wins!,22,4,0,8,11,7
107,Left Team Wins!,18,3,4,8,5,12
108,Right Team Wins!,17,4,5,12,4,9
109,Right Team Wins!,13,8,2,10,6,7
110,Right Team Wins!,18,6,2,6,8,12
111,Right Team Wins!,21,3,5,11,10,8
112,Draw!,27,3,6,16,5,15
113,Right Team Wins!,17,4,2,6,9,8
114,Left Team Wins!,18,3,4,11,8,5
115,Left Team Wins!,23,2,4,7,12,10
116,Draw!,25,2,9,5,19,12
117,Draw!,16,6,14,18,10,8
118,Left Team Wins!,16,4,7,8,11,8
119,Right Team Wins!,19,5,9,11,14,8
120,Left Team Wins!,14,4,7,9,8,8
121,Draw!,22,6,8,14,11,11
122,Draw!,14,7,15,14,8,13
123,Left Team Wins!,16,5,11,12,8,12
124,Draw!,18,3,15,10,13,12
125,Draw!,14,1,21,6,15,15
126,Right Team Wins!,10,6,16,9,10,13
127,Draw!,20,4,12,13,10,13
128,Right Team Wins!,6,3,21,12,7,9
129,Draw!,11,3,22,10,16,9
130,Draw!,14,4,18,11,12,12
131,Right Team Wins!,11,0,22,9,14,9
132,Left Team Wins!,8,6,22,15,15,5
133,Draw!,3,3,29,13,12,10
134,Draw!,18,4,14,15,12,8
135,Draw!,8,6,22,10,14,12
136,Draw!,1,2,32,10,9,14
137,Right Team Wins!,3,10,19,13,6,11
138,Right Team Wins!,4,6,26,12,16,8
139,Left Team Wins!,9,10,0,5,9,5
140,Left Team Wins!,6,10,19,13,7,15
141,Left Team Wins!,7,12,16,13,17,6
142,Left Team Wins!,7,16,2,8,8,9
143,Left Team Wins!,12,7,11,9,13,8
144,Left Team Wins!,8,19,5,11,7,14
145,Left Team Wins!,3,23,1,8,9,10
146,Left Team Wins!,6,17,0,9,7,6
147,Right Team Wins!,11,18,2,12,11,8
148,Right Team Wins!,8,13,6,9,8,9
149,Right Team Wins!,9,5,12,7,8,11
150,Left Team Wins!,1,23,0,7,9,8
151,Right Team Wins!,9,9,11,8,12,9
152,Right Team Wins!,10,10,2,9,7,6
153,Left Team Wins!,8,11,5,7,9,8
154,Right Team Wins!,3,22,0,4,8,13
155,Right Team Wins!,10,14,5,7,13,9
156,Right Team Wins!,3,12,10,9,9,7
157,Right Team Wins!,4,16,1,9,4,8
158,Right Team Wins!,7,18,3,9,12,7
159,Right Team Wins!,7,24,4,9,12,15
160,Left Team Wins!,2,17,6,7,10,7
161,Right Team Wins!,3,17,4,10,5,9
162,Left Team Wins!,1,16,2,7,2,10
163,Left Team Wins!,4,15,6,4,13,8
164,Draw!,9,21,6,15,10,11
165,Left Team Wins!,7,15,3,7,8,10
166,Right Team Wins!,9,11,9,10,9,10
167,Right Team Wins!,8,9,4,5,8,7
168,Right Team Wins!,8,12,12,8,10,14
169,Left Team Wins!,7,13,12,10,12,10
170,Draw!,4,17,15,11,12,13
171,Right Team Wins!,2,3,26,11,13,6
172,Left Team Wins!,8,14,10,2,15,14
173,Right Team Wins!,5,10,12,12,5,10
174,Draw!,5,17,14,11,9,15
175,Left Team Wins!,3,23,6,10,8,14
176,Left Team Wins!,1,18,6,5,8,12
177,Left Team Wins!,2,10,16,10,9,9
178,Draw!,2,21,13,12,14,10
179,Left Team Wins!,1,16,6,8,4,11
180,Right Team Wins!,4,13,5,11,5,6
181,Right Team Wins!,3,18,7,11,8,9
182,Left Team Wins!,1,14,6,8,6,7
183,Left Team Wins!,2,15,4,3,9,9
184,Left Team Wins!,2,22,10,8,15,11
185,Right Team Wins!,2,15,8,5,13,7
186,Left Team Wins!,4,19,4,6,12,9
187,Left Team Wins!,0,15,6,9,5,7
188,Left Team Wins!,2,11,4,6,8,3
189,Right Team Wins!,6,13,6,8,8,9
190,Right Team Wins!,12,10,3,10,5,10
191,Right Team Wins!,10,10,5,10,8,7
192,Right Team Wins!,11,22,2,8,11,16
193,Draw!,3,31,2,13,9,14
194,Left Team Wins!,6,14,2,6,7,9
195,Left Team Wins!,7,17,3,11,6,10
196,Right Team Wins!,14,10,3,11,9,7
197,Right Team Wins!,9,16,4,8,5,16
198,Left Team Wins!,4,17,4,6,9,10
199,Left Team Wins!,5,25,5,10,10,16
200,Left Team Wins!,5,18,7,10,10,10
201,Right Team Wins!,7,7,7,3,12,6
202,Left Team Wins!,6,16,5,10,9,7
203,Left Team Wins!,7,13,3,9,9,5
204,Draw!,6,16,14,6,16,14
205,Left Team Wins!,5,16,8,11,7,11
206,Right Team Wins!,5,12,14,12,7,12
207,Left Team Wins!,5,15,12,6,13,13
208,Left Team Wins!,5,14,10,10,12,6
209,Left Team Wins!,5,15,14,14,12,8
210,Draw!,5,14,17,14,11,10
211,Right Team Wins!,7,8,18,13,11,9
212,Left Team Wins!,5,12,17,14,9,11
213,Draw!,2,16,18,9,10,17
214,Left Team Wins!,11,13,6,6,12,12
215,Right Team Wins!,13,6,5,14,4,6
216,Draw!,4,7,24,8,11,16
217,Right Team Wins!,17,2,2,6,9,6
218,Right Team Wins!,13,3,3,9,6,4
219,Right Team Wins!,23,3,5,13,10,8
220,Right Team Wins!,13,11,7,13,8,10
221,Right Team Wins!,11,4,19,9,12,13
222,Right Team Wins!,6,6,22,8,16,10
223,Left Team Wins!,7,5,23,9,14,13
224,Draw!,10,4,22,15,10,11
225,Draw!,8,2,26,9,12,14
226,Right Team Wins!,5,3,20,8,14,6
227,Draw!,7,0,29,15,8,13
228,Draw!,7,0,29,8,13,15
229,Draw!,4,1,30,13,7,13
230,Draw!,4,2,29,10,10,11
231,Draw!,6,0,30,13,15,8
232,Right Team Wins!,5,5,26,9,11,13
233,Draw!,2,3,31,9,10,14
234,Draw!,7,5,24,15,12,9
235,Draw!,5,5,26,11,13,11
236,Left Team Wins!,11,6,17,13,9,12
237,Right Team Wins!,8,11,6,13,5,7
238,Left Team Wins!,2,12,9,11,4,7
239,Right Team Wins!,5,15,2,6,10,6
240,Right Team Wins!,5,18,4,7,13,7
241,Right Team Wins!,7,18,2,9,8,10
242,Right Team Wins!,9,9,6,8,11,5
243,Left Team Wins!,2,17,2,7,5,9
244,Right Team Wins!,9,17,10,15,9,11
245,Left Team Wins!,4,16,4,9,5,10
246,Right Team Wins!,10,10,7,5,12,9
247,Left Team Wins!,8,15,2,9,10,6
248,Right Team Wins!,10,12,5,6,13,8
249,Right Team Wins!,14,8,4,8,9,9
250,Right Team Wins!,14,9,4,6,11,10
251,Left Team Wins!,10,13,4,8,7,11
252,Right Team Wins!,21,12,3,13,10,13
253,Left Team Wins!,7,10,2,8,6,5
254,Right Team Wins!,19,4,3,12,6,8
255,Right Team Wins!,21,4,11,11,10,15
256,Right Team Wins!,22,3,5,8,12,10
257,Right Team Wins!,15,5,4,9,7,8
258,Left Team Wins!,16,15,5,16,10,9
259,Right Team Wins!,9,8,6,7,12,4
260,Left Team Wins!,11,8,2,9,7,5
261,Right Team Wins!,15,7,8,10,12,8
262,Left Team Wins!,16,10,5,13,9,9
263,Right Team Wins!,14,8,2,9,9,6
264,Left Team Wins!,23,12,1,16,10,10
265,Right Team Wins!,18,4,2,6,12,6
266,Left Team Wins!,20,11,1,13,6,12
267,Right Team Wins!,26,6,3,14,13,9
268,Draw!,24,8,4,7,13,16
269,Right Team Wins!,17,6,7,14,4,12
270,Left Team Wins!,12,5,1,8,6,4
271,Right Team Wins!,14,6,6,11,8,7
272,Draw!,25,3,8,13,6,17
273,Right Team Wins!,14,6,10,11,10,9
274,Draw!,23,9,4,14,10,12
275,Draw!,24,4,8,8,15,12
276,Right Team Wins!,14,8,8,8,14,8
277,Left Team Wins!,13,5,3,3,8,9
278,Right Team Wins!,10,13,6,10,10,9
279,Right Team Wins!,20,9,7,14,11,10
280,Right Team Wins!,9,13,6,5,10,13
281,Draw!,14,12,10,11,12,12
282,Left Team Wins!,17,7,1,8,12,5
283,Left Team Wins!,13,12,7,8,14,9
284,Left Team Wins!,12,9,5,6,12,8
285,Draw!,6,17,13,8,12,15
286,Draw!,13,9,14,18,9,9
287,Draw!,6,13,17,15,8,12
288,Left Team Wins!,8,8,5,10,7,4
289,Right Team Wins!,5,13,18,15,10,11
290,Left Team Wins!,9,10,13,14,6,12
291,Right Team Wins!,3,15,18,16,13,7
292,Right Team Wins!,1,10,16,11,9,7
293,Right Team Wins!,2,14,9,4,8,13
294,Draw!,2,11,23,5,16,14
295,Draw!,1,19,16,13,11,12
296,Right Team Wins!,10,6,4,6,8,6
297,Right Team Wins!,6,10,12,7,11,10
298,Left Team Wins!,7,16,5,12,7,9
299,Left Team Wins!,6,10,3,9,7,3
300,Right Team Wins!,3,18,10,16,7,8
301,Left Team Wins!,3,20,6,7,13,9
302,Right Team Wins!,3,11,9,4,13,6
303,Left Team Wins!,4,15,9,9,12,7
304,Left Team Wins!,14,12,9,8,10,17
305,Left Team Wins!,2,13,11,10,11,5
306,Right Team Wins!,2,16,17,9,16,10
307,Left Team Wins!,4,19,12,8,15,12
308,Left Team Wins!,5,15,2,9,7,5
309,Right Team Wins!,6,12,7,11,8,6
310,Draw!,4,21,11,10,12,14
311,Left Team Wins!,3,23,5,10,12,9
312,Draw!,5,12,19,9,13,14
313,Right Team Wins!,1,12,7,6,8,6
314,Left Team Wins!,9,18,6,12,13,8
315,Draw!,12,2,22,10,10,16
316,Left Team Wins!,6,11,10,7,9,11
317,Left Team Wins!,6,21,7,9,13,12
318,Draw!,11,7,18,10,11,14
319,Draw!,9,4,23,12,12,12
320,Right Team Wins!,5,14,13,10,13,9
321,Left Team Wins!,3,19,5,7,10,10
322,Right Team Wins!,10,9,11,11,10,9
323,Right Team Wins!,10,7,3,8,7,5
324,Right Team Wins!,11,10,1,7,9,6
325,Left Team Wins!,7,15,3,11,9,5
326,Draw!,21,5,10,9,11,15
327,Right Team Wins!,17,9,2,4,11,13
328,Left Team Wins!,5,17,4,5,10,11
329,Left Team Wins!,9,14,4,8,10,9
330,Left Team Wins!,7,8,5,4,10,6
331,Right Team Wins!,12,6,16,15,12,7
332,Right Team Wins!,24,3,7,10,13,11
333,Draw!,21,0,15,13,9,14
334,Right Team Wins!,23,2,11,15,9,11
335,Right Team Wins!,11,5,11,7,12,8
336,Right Team Wins!,21,4,1,8,10,8
337,Left Team Wins!,32,3,0,11,9,15
338,Right Team Wins!,17,4,9,14,10,6
339,Right Team Wins!,18,2,1,5,7,8
340,Left Team Wins!,24,3,2,15,7,7
341,Left Team Wins!,21,2,3,12,7,7
342,Left Team Wins!,26,4,5,19,3,13
343,Right Team Wins!,19,1,6,9,9,8
344,Right Team Wins!,23,0,8,8,14,9
345,Right Team Wins!,20,1,6,12,8,7
346,Right Team Wins!,15,1,8,11,8,5
347,Right Team Wins!,18,3,9,7,11,11
348,Draw!,26,1,9,18,9,9
349,Left Team Wins!,27,4,5,10,10,16
350,Right Team Wins!,24,2,10,13,13,10
351,Right Team Wins!,27,0,9,12,15,9
352,Draw!,27,0,9,13,15,8
353,Right Team Wins!,18,0,7,7,9,9
354,Right Team Wins!,15,2,19,14,12,10
355,Right Team Wins!,18,3,15,11,15,9
356,Draw!,12,0,24,11,10,15
357,Right Team Wins!,12,2,21,9,13,13
358,Draw!,9,0,27,8,12,16
359,Draw!,6,0,30,16,8,12
360,Draw!,15,0,21,10,6,18
361,Left Team Wins!,9,0,24,9,17,10
362,Right Team Wins!,8,9,11,8,8,12
363,Right Team Wins!,11,11,4,9,9,8
364,Right Team Wins!,9,12,8,8,9,12
365,Left Team Wins!,11,11,7,9,12,8
366,Right Team Wins!,8,9,8,6,13,6
367,Left Team Wins!,5,5,14,6,11,7
368,Right Team Wins!,16,6,6,11,11,6
369,Right Team Wins!,14,4,14,9,10,13
370,Left Team Wins!,11,10,15,5,17,14
371,Left Team Wins!,7,5,13,9,6,10
372,Left Team Wins!,15,5,7,9,7,11
373,Draw!,18,3,15,13,7,16
374,Left Team Wins!,15,6,1,8,9,5
375,Left Team Wins!,14,6,3,5,12,5
376,Draw!,31,3,2,15,10,11
377,Left Team Wins!,30,4,2,8,14,13
378,Right Team Wins!,19,3,6,7,10,10
379,Left Team Wins!,21,7,0,9,10,9
380,Right Team Wins!,28,5,1,8,15,11
381,Right Team Wins!,17,4,2,11,9,3
382,Left Team Wins!,20,7,2,7,9,13
383,Right Team Wins!,17,5,5,8,12,7
384,Right Team Wins!,29,0,7,14,12,10
385,Right Team Wins!,20,0,8,12,9,7
386,Left Team Wins!,25,7,2,14,9,11
387,Left Team Wins!,17,7,6,8,13,9
388,Left Team Wins!,27,5,3,10,16,9
389,Left Team Wins!,17,8,4,7,13,9
390,Left Team Wins!,22,4,2,9,6,12
391,Left Team Wins!,25,8,0,7,15,11
392,Left Team Wins!,21,4,4,11,9,9
393,Right Team Wins!,30,0,6,9,14,12
394,Right Team Wins!,21,2,1,9,11,4
395,Draw!,33,2,1,13,9,14
396,Right Team Wins!,16,3,4,8,7,8
397,Right Team Wins!,23,2,10,12,14,10
398,Right Team Wins!,18,0,10,14,5,9
399,Right Team Wins!,15,3,5,8,10,5
400,Right Team Wins!,19,1,5,7,9,9
401,Right Team Wins!,25,2,4,10,12,9
402,Right Team Wins!,26,1,5,16,8,8
403,Right Team Wins!,17,0,7,10,5,9
404,Left Team Wins!,18,11,0,6,12,11
405,Right Team Wins!,22,0,9,11,8,12
406,Left Team Wins!,16,9,3,8,9,11
407,Right Team Wins!,11,5,15,11,11,9
408,Right Team Wins!,24,6,4,8,14,12
409,Right Team Wins!,18,12,5,12,9,14
410,Left Team Wins!,5,9,9,8,9,6
411,Right Team Wins!,17,8,7,7,14,11
412,Left Team Wins!,8,10,13,8,14,9
413,Left Team Wins!,17,11,8,13,9,13
414,Right Team Wins!,21,6,7,12,12,10
415,Draw!,6,7,22,8,15,13
416,Left Team Wins!,22,3,1,6,7,13
417,Right Team Wins!,19,6,5,7,9,14
418,Right Team Wins!,20,6,9,11,12,12
419,Left Team Wins!,3,5,20,13,12,5
420,Right Team Wins!,17,2,9,9,7,12
421,Draw!,17,6,13,8,11,16
422,Right Team Wins!,17,8,1,8,9,9
423,Left Team Wins!,20,4,11,13,15,8
424,Right Team Wins!,28,3,5,10,11,14
425,Right Team Wins!,22,3,6,7,14,10
426,Right Team Wins!,23,2,8,17,10,6
427,Right Team Wins!,16,2,6,6,12,6
428,Draw!,4,4,27,12,16,8
429,Right Team Wins!,16,4,13,10,17,6
430,Right Team Wins!,19,2,6,6,12,9
431,Draw!,16,3,17,16,13,7
432,Draw!,10,5,21,21,10,5
433,Right Team Wins!,14,2,7,8,11,5
434,Left Team Wins!,17,5,13,11,10,15
435,Right Team Wins!,17,4,12,12,11,9
436,Right Team Wins!,18,2,8,13,8,7
437,Right Team Wins!,14,6,2,10,7,5
438,Right Team Wins!,22,4,7,15,11,7
439,Right Team Wins!,26,6,4,12,16,8
440,Right Team Wins!,12,9,4,4,7,14
441,Right Team Wins!,17,3,11,11,7,13
442,Draw!,7,2,27,10,10,15
443,Draw!,16,5,15,13,12,10
444,Draw!,16,3,17,8,12,16
445,Draw!,12,3,21,16,8,12
446,Left Team Wins!,22,5,6,6,10,17
447,Draw!,33,2,1,10,12,14
448,Left Team Wins!,27,3,2,12,6,14
449,Right Team Wins!,23,10,0,7,10,16
450,Right Team Wins!,21,8,0,9,12,8
451,Left Team Wins!,20,2,1,10,8,5
452,Left Team Wins!,27,6,2,11,11,13
453,Right Team Wins!,24,8,1,10,12,11
454,Left Team Wins!,19,7,1,7,11,9
455,Right Team Wins!,18,8,0,7,10,9
456,Right Team Wins!,20,7,0,7,10,10
457,Left Team Wins!,22,5,1,9,8,11
458,Left Team Wins!,14,5,1,6,9,5
459,Right Team Wins!,19,5,1,9,10,6
460,Left Team Wins!,21,3,6,15,6,9
461,Left Team Wins!,13,6,4,3,9,11
462,Right Team Wins!,17,5,0,5,9,8
463,Right Team Wins!,21,1,0,9,6,7
464,Right Team Wins!,27,1,2,6,11,13
465,Draw!,32,1,3,15,6,15
466,Right Team Wins!,30,1,0,11,10,10
467,Left Team Wins!,19,2,0,5,10,6
468,Left Team Wins!,22,2,1,7,12,6
469,Right Team Wins!,24,0,3,10,8,9
470,Left Team Wins!,30,3,0,10,14,9
471,Right Team Wins!,24,0,0,4,10,10
472,Right Team Wins!,27,1,6,10,12,12
473,Left Team Wins!,26,3,0,15,3,11
474,Right Team Wins!,18,0,6,10,9,5
475,Right Team Wins!,18,5,0,9,8,6
476,Left Team Wins!,24,1,1,8,6,12
477,Right Team Wins!,19,2,3,8,11,5
478,Left Team Wins!,20,1,0,6,10,5
479,Left Team Wins!,24,3,0,10,9,8
480,Right Team Wins!,30,1,1,13,7,12
481,Left Team Wins!,17,5,7,8,13,7
482,Draw!,29,6,1,15,6,14
483,Right Team Wins!,19,10,0,12,9,8
484,Draw!,29,6,0,11,12,13
485,Draw!,21,12,3,16,14,6
486,Left Team Wins!,16,6,0,5,11,6
487,Draw!,23,12,1,13,7,16
488,Right Team Wins!,16,7,0,4,12,7
489,Right Team Wins!,24,7,1,10,8,14
490,Draw!,20,10,5,7,11,17
491,Right Team Wins!,18,5,1,9,9,6
492,Draw!,28,8,0,13,9,14
493,Left Team Wins!,19,9,6,8,8,17
494,Right Team Wins!,13,7,1,5,7,8
495,Left Team Wins!,23,5,0,7,11,10
496,Right Team Wins!,18,10,0,8,9,11
497,Right Team Wins!,11,9,0,8,5,7
498,Left Team Wins!,23,8,0,6,11,14
499,Draw!,18,11,6,16,11,9
500,Draw!,19,17,0,10,12,14
501,Left Team Wins!,16,9,5,13,4,13
502,Left Team Wins!,16,10,1,10,9,8
503,Right Team Wins!,7,11,1,9,3,7
504,Left Team Wins!,16,9,1,7,11,8
505,Left Team Wins!,15,9,1,13,5,7
506,Right Team Wins!,17,9,3,8,11,9
507,Left Team Wins!,12,8,2,11,7,4
508,Right Team Wins!,12,20,1,13,9,11
509,Right Team Wins!,9,15,0,12,6,6
510,Right Team Wins!,11,14,5,9,9,12
511,Right Team Wins!,16,12,7,11,10,14
512,Right Team Wins!,16,11,9,9,10,17
513,Draw!,17,10,9,6,15,15
514,Left Team Wins!,18,9,6,9,15,9
515,Right Team Wins!,10,9,5,6,6,13
516,Right Team Wins!,14,8,6,9,8,11
517,Draw!,7,9,20,12,14,9
518,Right Team Wins!,12,6,6,9,7,8
519,Draw!,15,10,11,16,9,11
520,Draw!,7,8,21,7,11,17
521,Draw!,10,4,22,12,11,13
522,Left Team Wins!,13,3,6,12,7,3
523,Right Team Wins!,15,7,7,10,14,5
524,Draw!,22,2,12,12,11,13
